,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
84,야간,장안구,기타,맑음,1.0,2.0,2.0,5.0,10.0,15.387822129689894,4.488599348534202,4.474332648870637,4.666666666666667,4.460807600950119,28.090406265021624,45.0746359843594
85,야간,팔달구,젖음/습기,눈,1.0,3.0,4.0,2.0,10.0,15.261530735157164,4.488599348534202,4.363636363636363,4.841059602649007,3.5714285714285716,27.264723886248145,44.086603992896464
86,야간,팔달구,서리/결빙,흐림,1.0,3.0,3.0,3.0,10.0,15.261530735157162,4.488599348534202,4.363636363636363,4.875,4.421875,28.149110712170565,45.47013343944329
87,주간,권선구,서리/결빙,기타,2.0,4.0,3.0,1.0,10.0,14.745417367824516,4.476795931341386,4.588550983899821,4.875,4.833333333333333,28.77368024857454,46.76612913161539
88,야간,권선구,서리/결빙,눈,1.0,4.0,3.0,2.0,10.0,15.135239340624432,4.488599348534202,4.588550983899821,4.875,3.5714285714285716,27.523578903862596,44.61066042699063
89,야간,팔달구,건조,기타,1.0,3.0,5.0,1.0,10.0,15.261530735157162,4.488599348534202,4.363636363636363,4.444769140853302,4.833333333333333,28.1303381863572,44.63668747704314
90,야간,영통구,젖음/습기,비,1.0,1.0,4.0,4.0,10.0,15.514113524222626,4.488599348534202,4.492957746478873,4.841059602649007,4.798319327731092,28.620936025393174,47.539072816533476
91,야간,장안구,건조,눈,1.0,2.0,5.0,2.0,10.0,15.387822129689894,4.488599348534202,4.474332648870637,4.444769140853302,3.5714285714285716,26.979129709686713,42.803967493399135
92,야간,권선구,적설,비,1.0,4.0,1.0,4.0,10.0,15.135239340624432,4.488599348534202,4.588550983899821,4.25,4.798319327731092,28.125469660165116,46.286080595057854
93,주간,장안구,건조,기타,2.0,2.0,5.0,1.0,10.0,14.998000156889976,4.476795931341386,4.474332648870637,4.444769140853302,4.833333333333333,28.229231054398657,44.959436198023894
94,야간,팔달구,기타,비,1.0,3.0,2.0,4.0,10.0,15.261530735157164,4.488599348534202,4.363636363636363,4.666666666666667,4.798319327731092,28.317221706568326,46.10611908370099
95,야간,영통구,서리/결빙,맑음,1.0,1.0,3.0,5.0,10.0,15.514113524222624,4.488599348534202,4.492957746478873,4.875,4.460807600950119,28.317364695963192,45.91059509976367
96,야간,영통구,건조,흐림,1.0,1.0,5.0,3.0,10.0,15.514113524222626,4.488599348534202,4.492957746478873,4.444769140853302,4.421875,27.848201235866377,44.47102779927959
97,야간,권선구,기타,흐림,1.0,4.0,2.0,3.0,10.0,15.135239340624434,4.488599348534202,4.588550983899821,4.666666666666667,4.421875,28.16569199910069,45.44176161746682
98,야간,팔달구,적설,맑음,1.0,3.0,1.0,5.0,10.0,15.261530735157162,4.488599348534202,4.363636363636363,4.25,4.460807600950119,27.563043313120684,44.13354644419388
99,야간,장안구,젖음/습기,흐림,1.0,2.0,4.0,3.0,10.0,15.387822129689894,4.488599348534202,4.474332648870637,4.841059602649007,4.421875,28.225866600053845,46.0671280568715
100,야간,장안구,서리/결빙,비,1.0,2.0,3.0,4.0,10.0,15.387822129689894,4.488599348534202,4.474332648870637,4.875,4.798319327731092,28.63625132513593,47.255541957199846
101,야간,권선구,젖음/습기,기타,1.0,4.0,4.0,1.0,10.0,15.13523934062443,4.488599348534202,4.588550983899821,4.841059602649007,4.833333333333333,28.751543268416363,47.04037502806285
102,주간,권선구,기타,눈,2.0,4.0,2.0,2.0,10.0,14.745417367824516,4.476795931341386,4.588550983899821,4.666666666666667,3.5714285714285716,27.303442153336448,43.78398627447254
