,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
1263,권선구,평동,주간,기타,비,29.0,2.0,2.0,4.0,37.0,66.35209336498289
1264,권선구,평동,주간,건조,기타,29.0,2.0,5.0,1.0,37.0,66.3520933649829
1265,권선구,평동,주간,적설,맑음,29.0,2.0,1.0,5.0,37.0,66.35209336498289
1266,장안구,천천동,야간,건조,눈,28.0,1.0,5.0,2.0,36.0,64.41826695772171
1267,영통구,망포동,주간,서리/결빙,눈,29.0,2.0,3.0,2.0,36.0,65.2628687897147
1268,장안구,천천동,주간,서리/결빙,흐림,28.0,2.0,3.0,3.0,36.0,64.36058803356383
1269,권선구,오목천동,야간,젖음/습기,맑음,26.0,1.0,4.0,5.0,36.0,62.61370544541995
1270,장안구,천천동,주간,건조,기타,28.0,2.0,5.0,1.0,36.0,64.36058803356383
1271,장안구,천천동,야간,기타,맑음,28.0,1.0,2.0,5.0,36.0,64.4182669577217
1272,장안구,천천동,야간,서리/결빙,비,28.0,1.0,3.0,4.0,36.0,64.4182669577217
1273,장안구,천천동,야간,젖음/습기,흐림,28.0,1.0,4.0,3.0,36.0,64.4182669577217
1274,영통구,망포동,주간,젖음/습기,기타,29.0,2.0,4.0,1.0,36.0,65.2628687897147
1275,권선구,탑동,야간,서리/결빙,기타,31.0,1.0,3.0,1.0,36.0,67.12510922617432
1276,권선구,탑동,야간,기타,눈,31.0,1.0,2.0,2.0,36.0,67.12510922617432
1277,장안구,천천동,주간,젖음/습기,눈,28.0,2.0,4.0,2.0,36.0,64.36058803356383
1278,영통구,망포동,주간,기타,흐림,29.0,2.0,2.0,3.0,36.0,65.26286878971469
1279,권선구,탑동,야간,적설,흐림,31.0,1.0,1.0,3.0,36.0,67.12510922617432
1280,영통구,망포동,주간,적설,비,29.0,2.0,1.0,4.0,36.0,65.26286878971469
1281,영통구,망포동,야간,기타,비,29.0,1.0,2.0,4.0,36.0,65.32054771387257
1282,장안구,천천동,주간,기타,비,28.0,2.0,2.0,4.0,36.0,64.36058803356381
1283,장안구,천천동,주간,적설,맑음,28.0,2.0,1.0,5.0,36.0,64.36058803356383
1284,팔달구,고등동,주간,젖음/습기,맑음,25.0,2.0,4.0,5.0,36.0,61.6537457651112
1285,팔달구,고등동,주간,건조,비,25.0,2.0,5.0,4.0,36.0,61.65374576511121
1286,권선구,평동,주간,적설,비,29.0,2.0,1.0,4.0,36.0,65.26286878971469
1287,권선구,평동,주간,기타,흐림,29.0,2.0,2.0,3.0,36.0,65.26286878971469
1288,권선구,평동,주간,젖음/습기,기타,29.0,2.0,4.0,1.0,36.0,65.2628687897147
1289,권선구,평동,주간,서리/결빙,눈,29.0,2.0,3.0,2.0,36.0,65.2628687897147
1290,권선구,곡반정동,주간,기타,맑음,27.0,2.0,2.0,5.0,36.0,63.45830727741294
1291,권선구,곡반정동,주간,젖음/습기,흐림,27.0,2.0,4.0,3.0,36.0,63.45830727741295
1292,권선구,곡반정동,주간,서리/결빙,비,27.0,2.0,3.0,4.0,36.0,63.45830727741295
1293,권선구,서둔동,야간,적설,기타,33.0,1.0,1.0,1.0,36.0,68.92967073847608
1294,권선구,곡반정동,주간,건조,눈,27.0,2.0,5.0,2.0,36.0,63.45830727741295
1295,장안구,율전동,야간,기타,기타,32.0,1.0,2.0,1.0,36.0,68.0273899823252
1296,장안구,율전동,야간,적설,눈,32.0,1.0,1.0,2.0,36.0,68.02738998232519
1297,영통구,망포동,야간,건조,기타,29.0,1.0,5.0,1.0,36.0,65.32054771387259
1298,영통구,망포동,야간,서리/결빙,흐림,29.0,1.0,3.0,3.0,36.0,65.32054771387257
1299,팔달구,매교동,주간,건조,맑음,24.0,2.0,5.0,5.0,36.0,60.75146500896034
1300,영통구,망포동,야간,젖음/습기,눈,29.0,1.0,4.0,2.0,36.0,65.32054771387257
1301,권선구,탑동,주간,적설,눈,31.0,2.0,1.0,2.0,36.0,67.06743030201643
1302,권선구,탑동,주간,기타,기타,31.0,2.0,2.0,1.0,36.0,67.06743030201645
1303,권선구,곡반정동,야간,서리/결빙,맑음,27.0,1.0,3.0,5.0,36.0,63.515986201570826
1304,영통구,망포동,야간,적설,맑음,29.0,1.0,1.0,5.0,36.0,65.32054771387257
1305,권선구,곡반정동,야간,건조,흐림,27.0,1.0,5.0,3.0,36.0,63.51598620157083
1306,권선구,오목천동,야간,건조,비,26.0,1.0,5.0,4.0,36.0,62.61370544541996
1307,권선구,오목천동,주간,건조,흐림,26.0,2.0,5.0,3.0,36.0,62.55602652126208
1308,권선구,평동,야간,건조,기타,29.0,1.0,5.0,1.0,36.0,65.32054771387259
1309,권선구,오목천동,주간,서리/결빙,맑음,26.0,2.0,3.0,5.0,36.0,62.556026521262076
1310,권선구,평동,야간,서리/결빙,흐림,29.0,1.0,3.0,3.0,36.0,65.32054771387257
1311,권선구,평동,야간,적설,맑음,29.0,1.0,1.0,5.0,36.0,65.32054771387257
1312,장안구,율전동,주간,적설,기타,32.0,2.0,1.0,1.0,36.0,67.9697110581673
1313,권선구,평동,야간,젖음/습기,눈,29.0,1.0,4.0,2.0,36.0,65.32054771387257
1314,권선구,곡반정동,야간,젖음/습기,비,27.0,1.0,4.0,4.0,36.0,63.515986201570826
1315,팔달구,고등동,야간,건조,맑음,25.0,1.0,5.0,5.0,36.0,61.71142468926909
1316,권선구,오목천동,주간,젖음/습기,비,26.0,2.0,4.0,4.0,36.0,62.556026521262076
1317,권선구,평동,야간,기타,비,29.0,1.0,2.0,4.0,36.0,65.32054771387257
1318,장안구,천천동,주간,기타,흐림,28.0,2.0,2.0,3.0,35.0,63.271363458295625
1319,권선구,평동,야간,적설,비,29.0,1.0,1.0,4.0,35.0,64.23132313860437
1320,영통구,망포동,야간,적설,비,29.0,1.0,1.0,4.0,35.0,64.23132313860437
1321,장안구,천천동,주간,적설,비,28.0,2.0,1.0,4.0,35.0,63.271363458295625
1322,권선구,평동,야간,젖음/습기,기타,29.0,1.0,4.0,1.0,35.0,64.23132313860438
1323,권선구,평동,야간,기타,흐림,29.0,1.0,2.0,3.0,35.0,64.23132313860437
1324,영통구,망포동,야간,기타,흐림,29.0,1.0,2.0,3.0,35.0,64.23132313860437
1325,권선구,오목천동,야간,젖음/습기,비,26.0,1.0,4.0,4.0,35.0,61.524480870151756
1326,장안구,천천동,주간,서리/결빙,눈,28.0,2.0,3.0,2.0,35.0,63.271363458295625
1327,권선구,평동,야간,서리/결빙,눈,29.0,1.0,3.0,2.0,35.0,64.23132313860438
1328,장안구,천천동,야간,건조,기타,28.0,1.0,5.0,1.0,35.0,63.32904238245351
1329,팔달구,매산로2가,주간,건조,맑음,23.0,2.0,5.0,5.0,35.0,58.75995967754127
1330,영통구,망포동,야간,젖음/습기,기타,29.0,1.0,4.0,1.0,35.0,64.23132313860438
1331,팔달구,고등동,야간,젖음/습기,맑음,25.0,1.0,4.0,5.0,35.0,60.62220011400088
1332,권선구,오목천동,야간,건조,흐림,26.0,1.0,5.0,3.0,35.0,61.52448087015176
1333,권선구,평동,주간,서리/결빙,기타,29.0,2.0,3.0,1.0,35.0,64.1736442144465
1334,권선구,곡반정동,주간,적설,맑음,27.0,2.0,1.0,5.0,35.0,62.369082702144745
1335,권선구,곡반정동,주간,기타,비,27.0,2.0,2.0,4.0,35.0,62.369082702144745
1336,권선구,곡반정동,주간,젖음/습기,눈,27.0,2.0,4.0,2.0,35.0,62.369082702144745
1337,권선구,오목천동,주간,서리/결빙,비,26.0,2.0,3.0,4.0,35.0,61.46680194599388
1338,권선구,곡반정동,주간,서리/결빙,흐림,27.0,2.0,3.0,3.0,35.0,62.36908270214475
1339,권선구,오목천동,주간,젖음/습기,흐림,26.0,2.0,4.0,3.0,35.0,61.46680194599388
1340,권선구,곡반정동,주간,건조,기타,27.0,2.0,5.0,1.0,35.0,62.36908270214475
1341,권선구,평동,주간,기타,눈,29.0,2.0,2.0,2.0,35.0,64.1736442144465
1342,권선구,오목천동,주간,기타,맑음,26.0,2.0,2.0,5.0,35.0,61.46680194599387
1343,팔달구,고등동,야간,건조,비,25.0,1.0,5.0,4.0,35.0,60.62220011400089
1344,장안구,율전동,야간,적설,기타,32.0,1.0,1.0,1.0,35.0,66.938165407057
1345,팔달구,매교동,주간,젖음/습기,맑음,24.0,2.0,4.0,5.0,35.0,59.66224043369213
1346,팔달구,매교동,주간,건조,비,24.0,2.0,5.0,4.0,35.0,59.66224043369214
1347,영통구,망포동,야간,서리/결빙,눈,29.0,1.0,3.0,2.0,35.0,64.23132313860438
1348,권선구,탑동,주간,적설,기타,31.0,2.0,1.0,1.0,35.0,65.97820572674824
1349,권선구,평동,주간,적설,흐림,29.0,2.0,1.0,3.0,35.0,64.1736442144465
1350,권선구,오목천동,야간,서리/결빙,맑음,26.0,1.0,3.0,5.0,35.0,61.524480870151756
1351,장안구,천천동,주간,젖음/습기,기타,28.0,2.0,4.0,1.0,35.0,63.271363458295625
1352,장안구,천천동,야간,적설,맑음,28.0,1.0,1.0,5.0,35.0,63.3290423824535
1353,권선구,곡반정동,야간,서리/결빙,비,27.0,1.0,3.0,4.0,35.0,62.42676162630263
1354,권선구,곡반정동,야간,기타,맑음,27.0,1.0,2.0,5.0,35.0,62.42676162630262
1355,팔달구,고등동,주간,서리/결빙,맑음,25.0,2.0,3.0,5.0,35.0,60.564521189843006
1356,영통구,망포동,주간,기타,눈,29.0,2.0,2.0,2.0,35.0,64.1736442144465
1357,장안구,천천동,야간,기타,비,28.0,1.0,2.0,4.0,35.0,63.3290423824535
1358,권선구,탑동,야간,기타,기타,31.0,1.0,2.0,1.0,35.0,66.03588465090613
1359,권선구,곡반정동,야간,젖음/습기,흐림,27.0,1.0,4.0,3.0,35.0,62.42676162630263
1360,영통구,망포동,주간,서리/결빙,기타,29.0,2.0,3.0,1.0,35.0,64.1736442144465
1361,영통구,망포동,주간,적설,흐림,29.0,2.0,1.0,3.0,35.0,64.1736442144465
1362,팔달구,고등동,주간,젖음/습기,비,25.0,2.0,4.0,4.0,35.0,60.564521189843006
1363,팔달구,매교동,야간,건조,맑음,24.0,1.0,5.0,5.0,35.0,59.71991935785002
1364,팔달구,고등동,주간,건조,흐림,25.0,2.0,5.0,3.0,35.0,60.56452118984301
1365,장안구,천천동,야간,젖음/습기,눈,28.0,1.0,4.0,2.0,35.0,63.3290423824535
1366,권선구,탑동,야간,적설,눈,31.0,1.0,1.0,2.0,35.0,66.03588465090611
1367,권선구,곡반정동,야간,건조,눈,27.0,1.0,5.0,2.0,35.0,62.42676162630263
1368,권선구,오목천동,주간,건조,눈,26.0,2.0,5.0,2.0,35.0,61.46680194599388
1369,장안구,천천동,야간,서리/결빙,흐림,28.0,1.0,3.0,3.0,35.0,63.32904238245351
1370,권선구,평동,주간,기타,기타,29.0,2.0,2.0,1.0,34.0,63.08441963917829
1371,권선구,오목천동,주간,적설,맑음,26.0,2.0,1.0,5.0,34.0,60.377577370725675
1372,팔달구,매교동,야간,젖음/습기,맑음,24.0,1.0,4.0,5.0,34.0,58.63069478258181
1373,팔달구,매교동,주간,건조,흐림,24.0,2.0,5.0,3.0,34.0,58.57301585842394
1374,팔달구,매교동,주간,젖음/습기,비,24.0,2.0,4.0,4.0,34.0,58.573015858423936
1375,팔달구,고등동,야간,서리/결빙,맑음,25.0,1.0,3.0,5.0,34.0,59.532975538732686
1376,권선구,오목천동,주간,기타,비,26.0,2.0,2.0,4.0,34.0,60.377577370725675
1377,팔달구,매교동,야간,건조,비,24.0,1.0,5.0,4.0,34.0,58.63069478258182
1378,팔달구,고등동,주간,젖음/습기,흐림,25.0,2.0,4.0,3.0,34.0,59.47529661457481
1379,팔달구,매교동,주간,서리/결빙,맑음,24.0,2.0,3.0,5.0,34.0,58.573015858423936
1380,권선구,오목천동,야간,건조,눈,26.0,1.0,5.0,2.0,34.0,60.43525629488356
1381,영통구,망포동,주간,기타,기타,29.0,2.0,2.0,1.0,34.0,63.08441963917829
1382,권선구,오목천동,주간,젖음/습기,눈,26.0,2.0,4.0,2.0,34.0,60.377577370725675
1383,권선구,평동,주간,적설,눈,29.0,2.0,1.0,2.0,34.0,63.08441963917829
1384,권선구,곡반정동,주간,서리/결빙,눈,27.0,2.0,3.0,2.0,34.0,61.27985812687655
1385,팔달구,고등동,주간,기타,맑음,25.0,2.0,2.0,5.0,34.0,59.4752966145748
1386,팔달구,고등동,야간,건조,흐림,25.0,1.0,5.0,3.0,34.0,59.53297553873269
1387,권선구,오목천동,주간,서리/결빙,흐림,26.0,2.0,3.0,3.0,34.0,60.37757737072568
1388,권선구,곡반정동,주간,젖음/습기,기타,27.0,2.0,4.0,1.0,34.0,61.27985812687655
1389,권선구,곡반정동,야간,젖음/습기,눈,27.0,1.0,4.0,2.0,34.0,61.337537051034424
1390,권선구,곡반정동,주간,기타,흐림,27.0,2.0,2.0,3.0,34.0,61.27985812687655
1391,권선구,곡반정동,야간,서리/결빙,흐림,27.0,1.0,3.0,3.0,34.0,61.33753705103443
1392,권선구,곡반정동,주간,적설,비,27.0,2.0,1.0,4.0,34.0,61.27985812687655
1393,권선구,오목천동,주간,건조,기타,26.0,2.0,5.0,1.0,34.0,60.37757737072568
1394,영통구,망포동,야간,서리/결빙,기타,29.0,1.0,3.0,1.0,34.0,63.14209856333618
1395,권선구,곡반정동,야간,건조,기타,27.0,1.0,5.0,1.0,34.0,61.33753705103443
1396,영통구,망포동,주간,적설,눈,29.0,2.0,1.0,2.0,34.0,63.08441963917829
1397,장안구,천천동,야간,적설,비,28.0,1.0,1.0,4.0,34.0,62.239817807185304
1398,팔달구,고등동,주간,건조,눈,25.0,2.0,5.0,2.0,34.0,59.47529661457481
1399,장안구,이목동,주간,건조,맑음,22.0,2.0,5.0,5.0,34.0,56.7684543461222
1400,권선구,오목천동,야간,서리/결빙,비,26.0,1.0,3.0,4.0,34.0,60.43525629488356
1401,권선구,오목천동,야간,젖음/습기,흐림,26.0,1.0,4.0,3.0,34.0,60.43525629488356
1402,권선구,평동,야간,서리/결빙,기타,29.0,1.0,3.0,1.0,34.0,63.14209856333618
1403,장안구,천천동,야간,젖음/습기,기타,28.0,1.0,4.0,1.0,34.0,62.239817807185304
1404,권선구,오목천동,야간,기타,맑음,26.0,1.0,2.0,5.0,34.0,60.43525629488355
1405,장안구,천천동,주간,서리/결빙,기타,28.0,2.0,3.0,1.0,34.0,62.18213888302743
1406,팔달구,고등동,야간,젖음/습기,비,25.0,1.0,4.0,4.0,34.0,59.532975538732686
1407,권선구,평동,야간,기타,눈,29.0,1.0,2.0,2.0,34.0,63.14209856333617
1408,장안구,천천동,야간,기타,흐림,28.0,1.0,2.0,3.0,34.0,62.239817807185304
1409,장안구,천천동,주간,기타,눈,28.0,2.0,2.0,2.0,34.0,62.18213888302742
1410,권선구,탑동,야간,적설,기타,31.0,1.0,1.0,1.0,34.0,64.94666007563792
1411,장안구,천천동,주간,적설,흐림,28.0,2.0,1.0,3.0,34.0,62.18213888302743
1412,팔달구,매산로2가,주간,젖음/습기,맑음,23.0,2.0,4.0,5.0,34.0,57.67073510227306
1413,팔달구,매산로2가,주간,건조,비,23.0,2.0,5.0,4.0,34.0,57.67073510227307
1414,장안구,천천동,야간,서리/결빙,눈,28.0,1.0,3.0,2.0,34.0,62.239817807185304
1415,권선구,곡반정동,야간,적설,맑음,27.0,1.0,1.0,5.0,34.0,61.337537051034424
1416,영통구,망포동,야간,적설,흐림,29.0,1.0,1.0,3.0,34.0,63.14209856333618
1417,권선구,곡반정동,야간,기타,비,27.0,1.0,2.0,4.0,34.0,61.337537051034424
1418,팔달구,매산로2가,야간,건조,맑음,23.0,1.0,5.0,5.0,34.0,57.72841402643095
1419,권선구,평동,야간,적설,흐림,29.0,1.0,1.0,3.0,34.0,63.14209856333618
1420,영통구,망포동,야간,기타,눈,29.0,1.0,2.0,2.0,34.0,63.14209856333617
1421,팔달구,고등동,주간,서리/결빙,비,25.0,2.0,3.0,4.0,34.0,59.47529661457481
1422,팔달구,고등동,주간,서리/결빙,흐림,25.0,2.0,3.0,3.0,33.0,58.38607203930661
1423,팔달구,고등동,야간,건조,눈,25.0,1.0,5.0,2.0,33.0,58.44375096346449
1424,팔달구,고등동,야간,젖음/습기,흐림,25.0,1.0,4.0,3.0,33.0,58.44375096346449
1425,팔달구,고등동,야간,기타,맑음,25.0,1.0,2.0,5.0,33.0,58.44375096346448
1426,팔달구,고등동,야간,서리/결빙,비,25.0,1.0,3.0,4.0,33.0,58.44375096346449
1427,장안구,이목동,야간,건조,맑음,22.0,1.0,5.0,5.0,33.0,55.73690869501188
1428,팔달구,매산로2가,주간,서리/결빙,맑음,23.0,2.0,3.0,5.0,33.0,56.581510527004866
1429,팔달구,고등동,주간,건조,기타,25.0,2.0,5.0,1.0,33.0,58.38607203930661
1430,팔달구,매산로2가,주간,건조,흐림,23.0,2.0,5.0,3.0,33.0,56.58151052700487
1431,팔달구,고등동,주간,젖음/습기,눈,25.0,2.0,4.0,2.0,33.0,58.386072039306605
1432,팔달구,매산로2가,주간,젖음/습기,비,23.0,2.0,4.0,4.0,33.0,56.581510527004866
1433,권선구,평동,주간,적설,기타,29.0,2.0,1.0,1.0,33.0,61.995195063910096
1434,영통구,망포동,야간,기타,기타,29.0,1.0,2.0,1.0,33.0,62.05287398806797
1435,권선구,곡반정동,주간,적설,흐림,27.0,2.0,1.0,3.0,33.0,60.19063355160835
1436,권선구,평동,야간,기타,기타,29.0,1.0,2.0,1.0,33.0,62.05287398806797
1437,권선구,곡반정동,야간,젖음/습기,기타,27.0,1.0,4.0,1.0,33.0,60.24831247576623
1438,권선구,곡반정동,야간,기타,흐림,27.0,1.0,2.0,3.0,33.0,60.24831247576623
1439,팔달구,매교동,야간,젖음/습기,비,24.0,1.0,4.0,4.0,33.0,57.541470207313616
1440,팔달구,매교동,야간,서리/결빙,맑음,24.0,1.0,3.0,5.0,33.0,57.541470207313616
1441,팔달구,매교동,야간,건조,흐림,24.0,1.0,5.0,3.0,33.0,57.54147020731362
1442,영통구,망포동,주간,적설,기타,29.0,2.0,1.0,1.0,33.0,61.995195063910096
1443,권선구,곡반정동,야간,적설,비,27.0,1.0,1.0,4.0,33.0,60.24831247576623
1444,장안구,천천동,야간,적설,흐림,28.0,1.0,1.0,3.0,33.0,61.15059323191711
1445,장안구,천천동,야간,기타,눈,28.0,1.0,2.0,2.0,33.0,61.1505932319171
1446,장안구,이목동,주간,젖음/습기,맑음,22.0,2.0,4.0,5.0,33.0,55.67922977085399
1447,장안구,이목동,주간,건조,비,22.0,2.0,5.0,4.0,33.0,55.679229770854
1448,장안구,천천동,야간,서리/결빙,기타,28.0,1.0,3.0,1.0,33.0,61.15059323191711
1449,팔달구,고등동,주간,적설,맑음,25.0,2.0,1.0,5.0,33.0,58.386072039306605
1450,장안구,천천동,주간,기타,기타,28.0,2.0,2.0,1.0,33.0,61.09291430775922
1451,장안구,천천동,주간,적설,눈,28.0,2.0,1.0,2.0,33.0,61.09291430775922
1452,권선구,곡반정동,주간,기타,눈,27.0,2.0,2.0,2.0,33.0,60.19063355160834
1453,권선구,평동,야간,적설,눈,29.0,1.0,1.0,2.0,33.0,62.05287398806797
1454,영통구,망포동,야간,적설,눈,29.0,1.0,1.0,2.0,33.0,62.05287398806797
1455,권선구,곡반정동,야간,서리/결빙,눈,27.0,1.0,3.0,2.0,33.0,60.24831247576623
1456,팔달구,매산로2가,야간,건조,비,23.0,1.0,5.0,4.0,33.0,56.63918945116275
1457,팔달구,매산로2가,야간,젖음/습기,맑음,23.0,1.0,4.0,5.0,33.0,56.63918945116274
1458,팔달구,팔달로2가,주간,건조,맑음,21.0,2.0,5.0,5.0,33.0,54.77694901470313
1459,권선구,오목천동,주간,적설,비,26.0,2.0,1.0,4.0,33.0,59.28835279545748
1460,팔달구,매교동,주간,서리/결빙,비,24.0,2.0,3.0,4.0,33.0,57.48379128315574
1461,팔달구,매교동,주간,젖음/습기,흐림,24.0,2.0,4.0,3.0,33.0,57.48379128315574
1462,팔달구,매교동,주간,기타,맑음,24.0,2.0,2.0,5.0,33.0,57.48379128315573
1463,권선구,오목천동,주간,기타,흐림,26.0,2.0,2.0,3.0,33.0,59.28835279545748
1464,권선구,오목천동,주간,젖음/습기,기타,26.0,2.0,4.0,1.0,33.0,59.28835279545748
1465,권선구,곡반정동,주간,서리/결빙,기타,27.0,2.0,3.0,1.0,33.0,60.19063355160835
1466,권선구,오목천동,주간,서리/결빙,눈,26.0,2.0,3.0,2.0,33.0,59.28835279545748
1467,팔달구,고등동,주간,기타,비,25.0,2.0,2.0,4.0,33.0,58.386072039306605
1468,팔달구,매교동,주간,건조,눈,24.0,2.0,5.0,2.0,33.0,57.48379128315574
1469,권선구,오목천동,야간,서리/결빙,흐림,26.0,1.0,3.0,3.0,33.0,59.34603171961536
1470,권선구,오목천동,야간,건조,기타,26.0,1.0,5.0,1.0,33.0,59.34603171961536
1471,권선구,오목천동,야간,적설,맑음,26.0,1.0,1.0,5.0,33.0,59.346031719615354
1472,권선구,오목천동,야간,젖음/습기,눈,26.0,1.0,4.0,2.0,33.0,59.346031719615354
1473,권선구,오목천동,야간,기타,비,26.0,1.0,2.0,4.0,33.0,59.346031719615354
1474,권선구,오목천동,야간,서리/결빙,눈,26.0,1.0,3.0,2.0,32.0,58.25680714434716
1475,팔달구,매산로2가,야간,건조,흐림,23.0,1.0,5.0,3.0,32.0,55.54996487589455
1476,권선구,곡반정동,야간,적설,흐림,27.0,1.0,1.0,3.0,32.0,59.15908790049803
1477,팔달구,고등동,야간,젖음/습기,눈,25.0,1.0,4.0,2.0,32.0,57.354526388196284
1478,팔달구,고등동,주간,젖음/습기,기타,25.0,2.0,4.0,1.0,32.0,57.29684746403841
1479,장안구,이목동,주간,서리/결빙,맑음,22.0,2.0,3.0,5.0,32.0,54.590005195585796
1480,팔달구,고등동,주간,서리/결빙,눈,25.0,2.0,3.0,2.0,32.0,57.29684746403841
1481,팔달구,고등동,야간,기타,비,25.0,1.0,2.0,4.0,32.0,57.354526388196284
1482,팔달구,매교동,야간,서리/결빙,비,24.0,1.0,3.0,4.0,32.0,56.45224563204542
1483,권선구,곡반정동,야간,기타,눈,27.0,1.0,2.0,2.0,32.0,59.15908790049802
1484,팔달구,고등동,야간,적설,맑음,25.0,1.0,1.0,5.0,32.0,57.354526388196284
1485,팔달구,매교동,야간,젖음/습기,흐림,24.0,1.0,4.0,3.0,32.0,56.45224563204542
1486,팔달구,팔달로2가,주간,건조,비,21.0,2.0,5.0,4.0,32.0,53.68772443943493
1487,장안구,천천동,야간,적설,눈,28.0,1.0,1.0,2.0,32.0,60.0613686566489
1488,영통구,망포동,야간,적설,기타,29.0,1.0,1.0,1.0,32.0,60.963649412799775
1489,팔달구,고등동,주간,기타,흐림,25.0,2.0,2.0,3.0,32.0,57.29684746403841
1490,팔달구,매교동,주간,건조,기타,24.0,2.0,5.0,1.0,32.0,56.39456670788754
1491,팔달구,고등동,야간,서리/결빙,흐림,25.0,1.0,3.0,3.0,32.0,57.35452638819629
1492,팔달구,고등동,주간,적설,비,25.0,2.0,1.0,4.0,32.0,57.29684746403841
1493,장안구,천천동,야간,기타,기타,28.0,1.0,2.0,1.0,32.0,60.0613686566489
1494,팔달구,고등동,야간,건조,기타,25.0,1.0,5.0,1.0,32.0,57.35452638819629
1495,장안구,이목동,주간,건조,흐림,22.0,2.0,5.0,3.0,32.0,54.5900051955858
1496,팔달구,매교동,주간,서리/결빙,흐림,24.0,2.0,3.0,3.0,32.0,56.39456670788754
1497,권선구,곡반정동,야간,서리/결빙,기타,27.0,1.0,3.0,1.0,32.0,59.15908790049803
1498,권선구,오목천동,주간,서리/결빙,기타,26.0,2.0,3.0,1.0,32.0,58.19912822018928
1499,권선구,평동,야간,적설,기타,29.0,1.0,1.0,1.0,32.0,60.963649412799775
1500,팔달구,매교동,야간,건조,눈,24.0,1.0,5.0,2.0,32.0,56.45224563204542
1501,권선구,오목천동,주간,기타,눈,26.0,2.0,2.0,2.0,32.0,58.19912822018927
1502,팔달구,매교동,주간,젖음/습기,눈,24.0,2.0,4.0,2.0,32.0,56.394566707887535
1503,권선구,오목천동,주간,적설,흐림,26.0,2.0,1.0,3.0,32.0,58.19912822018928
1504,팔달구,매교동,주간,적설,맑음,24.0,2.0,1.0,5.0,32.0,56.394566707887535
1505,권선구,곡반정동,주간,적설,눈,27.0,2.0,1.0,2.0,32.0,59.101408976340146
1506,권선구,곡반정동,주간,기타,기타,27.0,2.0,2.0,1.0,32.0,59.101408976340146
1507,팔달구,매교동,주간,기타,비,24.0,2.0,2.0,4.0,32.0,56.394566707887535
1508,팔달구,매산로2가,주간,건조,눈,23.0,2.0,5.0,2.0,32.0,55.49228595173667
1509,권선구,오목천동,야간,적설,비,26.0,1.0,1.0,4.0,32.0,58.25680714434716
1510,팔달구,매산로2가,주간,기타,맑음,23.0,2.0,2.0,5.0,32.0,55.49228595173666
1511,팔달구,매교동,야간,기타,맑음,24.0,1.0,2.0,5.0,32.0,56.45224563204541
1512,장안구,천천동,주간,적설,기타,28.0,2.0,1.0,1.0,32.0,60.003689732491026
1513,팔달구,매산로2가,주간,서리/결빙,비,23.0,2.0,3.0,4.0,32.0,55.49228595173667
1514,권선구,오목천동,야간,기타,흐림,26.0,1.0,2.0,3.0,32.0,58.25680714434716
1515,장안구,이목동,주간,젖음/습기,비,22.0,2.0,4.0,4.0,32.0,54.590005195585796
1516,팔달구,매산로2가,야간,젖음/습기,비,23.0,1.0,4.0,4.0,32.0,55.549964875894545
1517,권선구,오목천동,야간,젖음/습기,기타,26.0,1.0,4.0,1.0,32.0,58.25680714434716
1518,장안구,이목동,야간,젖음/습기,맑음,22.0,1.0,4.0,5.0,32.0,54.64768411974367
1519,팔달구,매산로2가,야간,서리/결빙,맑음,23.0,1.0,3.0,5.0,32.0,55.549964875894545
1520,팔달구,팔달로2가,주간,젖음/습기,맑음,21.0,2.0,4.0,5.0,32.0,53.68772443943492
1521,장안구,이목동,야간,건조,비,22.0,1.0,5.0,4.0,32.0,54.64768411974368
1522,팔달구,팔달로2가,야간,건조,맑음,21.0,1.0,5.0,5.0,32.0,53.74540336359281
1523,팔달구,매산로2가,주간,젖음/습기,흐림,23.0,2.0,4.0,3.0,32.0,55.49228595173667
1524,팔달구,매산로2가,야간,건조,눈,23.0,1.0,5.0,2.0,31.0,54.46074030062635
1525,장안구,이목동,주간,건조,눈,22.0,2.0,5.0,2.0,31.0,53.5007806203176
1526,팔달구,매산로2가,주간,건조,기타,23.0,2.0,5.0,1.0,31.0,54.40306137646847
1527,권선구,당수동,주간,건조,맑음,19.0,2.0,5.0,5.0,31.0,50.79393835186498
1528,팔달구,매산로2가,주간,서리/결빙,흐림,23.0,2.0,3.0,3.0,31.0,54.40306137646847
1529,팔달구,북수동,주간,건조,맑음,19.0,2.0,5.0,5.0,31.0,50.79393835186498
1530,장안구,이목동,야간,젖음/습기,비,22.0,1.0,4.0,4.0,31.0,53.558459544475475
1531,팔달구,매교동,주간,적설,비,24.0,2.0,1.0,4.0,31.0,55.30534213261934
1532,장안구,이목동,야간,서리/결빙,맑음,22.0,1.0,3.0,5.0,31.0,53.558459544475475
1533,팔달구,매산로2가,주간,젖음/습기,눈,23.0,2.0,4.0,2.0,31.0,54.403061376468465
1534,권선구,곡반정동,주간,적설,기타,27.0,2.0,1.0,1.0,31.0,58.01218440107195
1535,팔달구,고등동,주간,적설,흐림,25.0,2.0,1.0,3.0,31.0,56.20762288877021
1536,권선구,입북동,주간,건조,맑음,19.0,2.0,5.0,5.0,31.0,50.79393835186498
1537,팔달구,매교동,주간,기타,흐림,24.0,2.0,2.0,3.0,31.0,55.30534213261934
