,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
131,권선구,세류동,야간,건조,비,49.0,1.0,5.0,4.0,59.0,108.4183280680586
132,팔달구,우만동,주간,건조,눈,50.0,2.0,5.0,2.0,59.0,109.26292990005157
133,권선구,권선동,야간,기타,흐림,53.0,1.0,2.0,3.0,59.0,112.02745109266209
134,장안구,영화동,주간,서리/결빙,흐림,51.0,2.0,3.0,3.0,59.0,110.16521065620245
135,권선구,세류동,야간,젖음/습기,맑음,49.0,1.0,4.0,5.0,59.0,108.4183280680586
136,권선구,권선동,주간,적설,흐림,53.0,2.0,1.0,3.0,59.0,111.96977216850419
137,권선구,세류동,주간,건조,흐림,49.0,2.0,5.0,3.0,59.0,108.36064914390072
138,팔달구,우만동,야간,젖음/습기,비,50.0,1.0,4.0,4.0,59.0,109.32060882420946
139,장안구,영화동,야간,서리/결빙,비,51.0,1.0,3.0,4.0,59.0,110.22288958036033
140,팔달구,인계동,야간,기타,비,52.0,1.0,2.0,4.0,59.0,111.1251703365112
141,장안구,정자동,주간,적설,눈,54.0,2.0,1.0,2.0,59.0,112.87205292465505
142,팔달구,인계동,야간,적설,맑음,52.0,1.0,1.0,5.0,59.0,111.1251703365112
143,장안구,정자동,야간,적설,흐림,54.0,1.0,1.0,3.0,59.0,112.92973184881295
144,권선구,권선동,주간,기타,눈,53.0,2.0,2.0,2.0,59.0,111.96977216850419
145,권선구,권선동,주간,서리/결빙,기타,53.0,2.0,3.0,1.0,59.0,111.96977216850419
146,팔달구,인계동,야간,건조,기타,52.0,1.0,5.0,1.0,59.0,111.12517033651122
147,팔달구,우만동,야간,건조,흐림,50.0,1.0,5.0,3.0,59.0,109.32060882420947
148,팔달구,인계동,야간,서리/결빙,흐림,52.0,1.0,3.0,3.0,59.0,111.1251703365112
149,권선구,세류동,주간,젖음/습기,비,49.0,2.0,4.0,4.0,59.0,108.3606491439007
150,권선구,권선동,야간,적설,비,53.0,1.0,1.0,4.0,59.0,112.02745109266208
151,팔달구,우만동,야간,서리/결빙,맑음,50.0,1.0,3.0,5.0,59.0,109.32060882420946
152,장안구,정자동,야간,기타,눈,54.0,1.0,2.0,2.0,59.0,112.92973184881295
153,장안구,정자동,야간,서리/결빙,기타,54.0,1.0,3.0,1.0,59.0,112.92973184881295
154,장안구,영화동,주간,적설,맑음,51.0,2.0,1.0,5.0,59.0,110.16521065620245
155,팔달구,인계동,주간,젖음/습기,기타,52.0,2.0,4.0,1.0,59.0,111.06749141235332
156,팔달구,인계동,주간,서리/결빙,눈,52.0,2.0,3.0,2.0,59.0,111.0674914123533
157,팔달구,인계동,주간,기타,흐림,52.0,2.0,2.0,3.0,59.0,111.06749141235332
158,권선구,세류동,주간,서리/결빙,맑음,49.0,2.0,3.0,5.0,59.0,108.3606491439007
159,장안구,영화동,야간,기타,맑음,51.0,1.0,2.0,5.0,59.0,110.22288958036035
160,팔달구,인계동,주간,적설,비,52.0,2.0,1.0,4.0,59.0,111.0674914123533
161,권선구,권선동,야간,서리/결빙,눈,53.0,1.0,3.0,2.0,59.0,112.02745109266208
162,팔달구,화서동,주간,건조,비,48.0,2.0,5.0,4.0,59.0,107.45836838774983
163,장안구,정자동,주간,기타,기타,54.0,2.0,2.0,1.0,59.0,112.87205292465507
164,팔달구,화서동,주간,젖음/습기,맑음,48.0,2.0,4.0,5.0,59.0,107.45836838774983
165,팔달구,우만동,주간,기타,맑음,50.0,2.0,2.0,5.0,59.0,109.26292990005157
166,팔달구,화서동,야간,건조,맑음,48.0,1.0,5.0,5.0,59.0,107.51604731190773
167,팔달구,인계동,야간,젖음/습기,눈,52.0,1.0,4.0,2.0,59.0,111.1251703365112
168,장안구,영화동,주간,기타,비,51.0,2.0,2.0,4.0,59.0,110.16521065620245
169,영통구,이의동,주간,건조,맑음,47.0,2.0,5.0,5.0,59.0,106.55608763159896
170,장안구,영화동,야간,건조,눈,51.0,1.0,5.0,2.0,59.0,110.22288958036035
171,장안구,영화동,주간,젖음/습기,눈,51.0,2.0,4.0,2.0,59.0,110.16521065620245
172,팔달구,우만동,주간,젖음/습기,흐림,50.0,2.0,4.0,3.0,59.0,109.26292990005157
173,팔달구,우만동,주간,서리/결빙,비,50.0,2.0,3.0,4.0,59.0,109.26292990005156
174,권선구,권선동,야간,젖음/습기,기타,53.0,1.0,4.0,1.0,59.0,112.02745109266209
175,장안구,영화동,야간,젖음/습기,흐림,51.0,1.0,4.0,3.0,59.0,110.22288958036035
176,권선구,세류동,주간,기타,맑음,49.0,2.0,2.0,5.0,58.0,107.27142456863251
177,팔달구,인계동,야간,젖음/습기,기타,52.0,1.0,4.0,1.0,58.0,110.03594576124301
178,장안구,영화동,주간,젖음/습기,기타,51.0,2.0,4.0,1.0,58.0,109.07598608093426
179,장안구,영화동,야간,적설,맑음,51.0,1.0,1.0,5.0,58.0,109.13366500509214
180,장안구,정자동,야간,적설,눈,54.0,1.0,1.0,2.0,58.0,111.84050727354474
181,장안구,영화동,야간,기타,비,51.0,1.0,2.0,4.0,58.0,109.13366500509214
182,장안구,영화동,주간,기타,흐림,51.0,2.0,2.0,3.0,58.0,109.07598608093426
183,권선구,세류동,야간,서리/결빙,맑음,49.0,1.0,3.0,5.0,58.0,107.3291034927904
184,영통구,이의동,주간,젖음/습기,맑음,47.0,2.0,4.0,5.0,58.0,105.46686305633075
185,장안구,영화동,주간,서리/결빙,눈,51.0,2.0,3.0,2.0,58.0,109.07598608093424
186,팔달구,인계동,야간,기타,흐림,52.0,1.0,2.0,3.0,58.0,110.03594576124301
187,권선구,권선동,야간,기타,눈,53.0,1.0,2.0,2.0,58.0,110.93822651739389
188,장안구,영화동,주간,적설,비,51.0,2.0,1.0,4.0,58.0,109.07598608093424
189,권선구,권선동,야간,서리/결빙,기타,53.0,1.0,3.0,1.0,58.0,110.93822651739389
190,장안구,영화동,야간,젖음/습기,눈,51.0,1.0,4.0,2.0,58.0,109.13366500509214
191,권선구,권선동,야간,적설,흐림,53.0,1.0,1.0,3.0,58.0,110.93822651739389
192,팔달구,인계동,주간,서리/결빙,기타,52.0,2.0,3.0,1.0,58.0,109.97826683708512
193,팔달구,매산로1가,주간,건조,맑음,46.0,2.0,5.0,5.0,58.0,104.5645823001799
194,장안구,영화동,야간,서리/결빙,흐림,51.0,1.0,3.0,3.0,58.0,109.13366500509214
195,팔달구,인계동,야간,서리/결빙,눈,52.0,1.0,3.0,2.0,58.0,110.035945761243
196,권선구,세류동,주간,건조,눈,49.0,2.0,5.0,2.0,58.0,107.27142456863251
197,팔달구,인계동,야간,적설,비,52.0,1.0,1.0,4.0,58.0,110.035945761243
198,권선구,세류동,주간,젖음/습기,흐림,49.0,2.0,4.0,3.0,58.0,107.27142456863251
199,팔달구,화서동,주간,젖음/습기,비,48.0,2.0,4.0,4.0,58.0,106.36914381248162
200,팔달구,화서동,야간,젖음/습기,맑음,48.0,1.0,4.0,5.0,58.0,106.42682273663952
201,장안구,영화동,야간,건조,기타,51.0,1.0,5.0,1.0,58.0,109.13366500509215
202,영통구,이의동,주간,건조,비,47.0,2.0,5.0,4.0,58.0,105.46686305633075
203,팔달구,화서동,주간,서리/결빙,맑음,48.0,2.0,3.0,5.0,58.0,106.36914381248162
204,팔달구,우만동,주간,기타,비,50.0,2.0,2.0,4.0,58.0,108.17370532478337
205,팔달구,화서동,주간,건조,흐림,48.0,2.0,5.0,3.0,58.0,106.36914381248164
206,팔달구,우만동,주간,적설,맑음,50.0,2.0,1.0,5.0,58.0,108.17370532478337
207,팔달구,인계동,주간,적설,흐림,52.0,2.0,1.0,3.0,58.0,109.97826683708512
208,팔달구,화서동,야간,건조,비,48.0,1.0,5.0,4.0,58.0,106.42682273663952
209,팔달구,인계동,주간,기타,눈,52.0,2.0,2.0,2.0,58.0,109.97826683708512
210,장안구,정자동,야간,기타,기타,54.0,1.0,2.0,1.0,58.0,111.84050727354476
211,팔달구,우만동,주간,젖음/습기,눈,50.0,2.0,4.0,2.0,58.0,108.17370532478337
212,팔달구,우만동,야간,기타,맑음,50.0,1.0,2.0,5.0,58.0,108.23138424894127
213,팔달구,우만동,야간,서리/결빙,비,50.0,1.0,3.0,4.0,58.0,108.23138424894125
214,권선구,권선동,주간,적설,눈,53.0,2.0,1.0,2.0,58.0,110.88054759323599
215,팔달구,우만동,야간,젖음/습기,흐림,50.0,1.0,4.0,3.0,58.0,108.23138424894127
216,권선구,세류동,야간,젖음/습기,비,49.0,1.0,4.0,4.0,58.0,107.3291034927904
217,권선구,세류동,주간,서리/결빙,비,49.0,2.0,3.0,4.0,58.0,107.2714245686325
218,권선구,권선동,주간,기타,기타,53.0,2.0,2.0,1.0,58.0,110.880547593236
219,권선구,세류동,야간,건조,흐림,49.0,1.0,5.0,3.0,58.0,107.32910349279041
220,팔달구,우만동,주간,건조,기타,50.0,2.0,5.0,1.0,58.0,108.17370532478338
221,영통구,이의동,야간,건조,맑음,47.0,1.0,5.0,5.0,58.0,105.52454198048865
222,팔달구,우만동,야간,건조,눈,50.0,1.0,5.0,2.0,58.0,108.23138424894127
223,팔달구,우만동,주간,서리/결빙,흐림,50.0,2.0,3.0,3.0,58.0,108.17370532478337
224,장안구,정자동,주간,적설,기타,54.0,2.0,1.0,1.0,58.0,111.78282834938686
225,팔달구,화서동,야간,서리/결빙,맑음,48.0,1.0,3.0,5.0,57.0,105.33759816137132
226,권선구,세류동,주간,건조,기타,49.0,2.0,5.0,1.0,57.0,106.18219999336432
227,팔달구,매산로1가,주간,젖음/습기,맑음,46.0,2.0,4.0,5.0,57.0,103.47535772491169
228,팔달구,화서동,야간,건조,흐림,48.0,1.0,5.0,3.0,57.0,105.33759816137133
229,권선구,세류동,주간,서리/결빙,흐림,49.0,2.0,3.0,3.0,57.0,106.1821999933643
230,영통구,이의동,주간,젖음/습기,비,47.0,2.0,4.0,4.0,57.0,104.37763848106255
231,권선구,세류동,주간,젖음/습기,눈,49.0,2.0,4.0,2.0,57.0,106.1821999933643
232,팔달구,인계동,야간,적설,흐림,52.0,1.0,1.0,3.0,57.0,108.94672118597481
233,권선구,세류동,야간,기타,맑음,49.0,1.0,2.0,5.0,57.0,106.2398789175222
234,팔달구,화서동,야간,젖음/습기,비,48.0,1.0,4.0,4.0,57.0,105.33759816137132
235,권선구,세류동,야간,서리/결빙,비,49.0,1.0,3.0,4.0,57.0,106.23987891752219
